Cruisin USA Frozen Custard,8,4,$,37.042818,-93.28518458,Nixa,MO,19022,15
Andy's Frozen Custard,62,4.5,$,37.16398,-93.29469,Springfield,MO,159498,27
Elle's Patisserie,30,4.5,$$,37.20355,-93.26909,Springfield,MO,159498,25
Andys Frozen Custard,39,4.5,$,37.23581,-93.26163,Springfield,MO,159498,25
Orange Leaf Frozen Yogurt,27,4,$,37.13696,-93.27287,Springfield,MO,159498,29
Kilwins,17,4.5,N/A,36.6554408,-93.2205205,Branson,MO,10520,32
Andy's Frozen Custard,13,4.5,$,37.1595271,-93.2728926,Springfield,MO,159498,28
Cakes & Creams,113,4,$,36.63903674,-93.26987099,Branson,MO,10520,36
Cherry Berry,15,4.5,$$,36.631198,-93.275428,Branson,MO,10520,34
Simply Yo Frozen Treats,10,4.5,$$,37.1490102,-93.2958559,Springfield,MO,159498,29
The Keeter Center,201,4.5,$$,36.61786994,-93.23822021,Point Lookout,MO,N/A,32
Andy's Frozen Custard,18,4.5,$,37.18080496,-93.23167269,Springfield,MO,159498,26
Dreami Cremes,10,4,$$,36.65253447,-93.28441322,Branson,MO,10520,36
Pineapple Whip,11,5,$,37.14407,-93.294947,Springfield,MO,159498,29
Pineapple Whip,13,4,$,37.19095979,-93.2619819,Springfield,MO,159498,25
Braum's,11,4,$,37.18204482,-93.30990635,Springfield,MO,159498,26
Andy's Frozen Custard,29,4.5,$,37.13328913,-93.29582868,Springfield,MO,159498,29
Braum's,14,4,$,37.24434,-93.31158,Springfield,MO,159498,25
Maes Gelateria,3,4.5,$$,37.20687,-93.29013,Springfield,MO,159498,25
Braum's,6,4.5,$,37.13931,-93.27878,Springfield,MO,159498,29
Pop's Dari Dell,3,4.5,$$,36.75304413,-93.3822937,Reeds Spring,MO,913,18
Nonnas Nummies,5,5,$,36.6092606,-93.6078568,Shell Knob,MO,N/A,4
Braum's Ice Cream & Dairy Stores,18,3.5,$,37.07215294,-93.22683783,Ozark,MO,17820,20
Freddy's Frozen Custard & Steakburgers,35,3.5,$,37.132711,-93.299528,Springfield,MO,159498,29
Braum's,6,3.5,$,37.13891,-93.33131,Springfield,MO,159498,30
Culver's,22,3.5,$,37.24298212,-93.26036132,Springfield,MO,159498,25
Cold Stone Creamery,9,3.5,$$,37.15890095,-93.28378481,Springfield,MO,159498,28
Orange Leaf Frozen Yogurt,1,5,N/A,37.19609353,-93.26231175,Springfield,MO,159498,25
Mr B's Ice Cream Parlor,20,3.5,$,36.64394081,-93.21807006,Branson,MO,10520,32
Jackie B Goode's Uptown Cafe,116,3.5,$,36.636709,-93.281871,Branson,MO,10520,34
Double E Burger and Ice Cream Shop,8,4,$,36.93292556,-93.2786525,Highlandville,MO,911,4
"Big Al's Subs, Smoothies & Ice Cream Shop",4,5,$,37.0596442,-93.304379,Nixa,MO,19022,18
Lakeside Restaurant Resort & General Store,11,4,$,36.59347884,-93.39548551,Reeds Spring,MO,913,23
Table Rock Area 71,8,5,$,36.60636008,-93.56679384,Shell Knob,MO,N/A,4
Braum's,2,5,$$,36.94541163,-93.71821844,Aurora,MO,7508,2
Dairy Queen,3,3.5,$$,36.99604679,-93.62924023,Marionville,MO,2225,2
Marble Slab Creamery,3,4,$$,36.6415558,-93.2568665,Branson,MO,10520,36
Braum's Ice Cream and Dairy Stores,2,3.5,$,37.0475613,-93.3036219,Nixa,MO,19022,18
Freddy's Frozen Custard & Steakburgers,3,4.5,$,37.00404,-93.22597,Ozark,MO,17820,6
Braum's,11,3.5,$,37.21345139,-93.2609787,Springfield,MO,159498,25
Cold Stone Creamery,4,3.5,$$,36.64259,-93.24776,Branson,MO,10520,36
Smack's Deli & Ice Cream,1,5,N/A,36.64398193,-93.21748352,Branson,MO,10520,32
Scoops,4,3,$,36.63024902,-93.3032608,Branson,MO,10520,34
Dairy Queen,2,2.5,N/A,37.11451721,-93.4790802,Republic,MO,14751,2
Freddy's Frozen Custard and Steakburgers,2,5,N/A,37.14471,-93.25636,Springfield,MO,159498,29
Dairy Queen,5,3,$,37.24098,-93.30798,Springfield,MO,159498,25
Pineapple Whip,11,4.5,$,37.16117096,-93.31315613,Springfield,MO,159498,28
Dairy Queen,6,3,$,37.13896237,-93.29571769,Springfield,MO,159498,29
Dairy Queen,3,2.5,$$,37.20839532,-93.32327058,Springfield,MO,159498,25
Ava Drug,4,4.5,$,36.9522572,-92.6601255,Ava,MO,2993,1
Dairy Queen,3,2,$,37.11690523,-92.10356399,Cabool,MO,2146,1
Dairy Shack,3,4.5,$,37.149331,-91.357765,Eminence,MO,600,1
Carolina's Ice Cream Shop & Cafe,6,4.5,$,36.93589,-90.273949,Wappapello,MO,N/A,1
Jodi's Dairy Bar,4,5,$,43.99465179,-76.02300262,Brownville,NY,1119,1
Marble Slab Creamery,2,4.5,$,36.7803501,-90.4249411,Poplar Bluff,MO,17023,3
Simply Swirled,2,4.5,$$,36.75731208,-90.40604299,Poplar Bluff,MO,17023,3
Flying Dragon Shaved Ice,1,5,N/A,36.7713645,-90.41827127,Poplar Bluff,MO,17023,3
Swirls Frozen Yogurt,5,5,$$,37.07511649,-88.69527684,Paducah,KY,25024,10
