Ab. Y Paleteria La Chaparrita,1,4.0,N/A,23.6345012367459,-102.552784122527,Taylor Lake Village,TX
Marble Slab Creamery,1,5.0,N/A,26.2383919,-98.2149582,McAllen,TX
Orange Leaf Frozen Yogurt,6,2.5,$,26.26697,-98.21507,McAllen,TX
Lone Star Bar-B-Q,34,4.0,$$,26.236608505249,-98.2249984741211,McAllen,TX
Iguanas Ranas,4,4.0,$$,26.2634488626962,-98.2524838262195,McAllen,TX
Orange Leaf Frozen Yogurt,3,2.5,N/A,26.1700782775879,-97.6724166870117,Harligen,TX
Hela2 ice cream,1,5.0,N/A,26.163931,-98.252808,McAllen,TX
Tcby,3,2.5,N/A,26.1938514709473,-98.2644119262695,McAllen,TX
La michoacana,1,4.0,N/A,26.208618304353,-98.1644376067863,San Juan,TX
Joe's Ice Cream Parlor,3,3.0,$,26.2269629538059,-98.2259850203991,McAllen,TX
Freddy's Frozen Custard & Steakburgers,6,4.0,$$,26.193483987467,-98.2518691818664,McAllen,TX
La Michoacana,1,5.0,N/A,26.22209,-98.32425,Mission,TX
Yusma,2,5.0,N/A,26.2165031,-98.3254395,Mission,TX
Dairy Queen,3,3.5,$$,26.2462427995858,-98.2416566916211,McAllen,TX
La Real Michoacana,1,4.0,N/A,26.1678,-97.99103,Weslaco,TX
Stars Drive In,2,4.5,$,26.0994807916181,-98.2364409584786,Hidalgo,TX
Snowball Express,1,5.0,$,26.2328401229837,-98.3446489647031,Mission,TX
Dairy Queen,3,4.5,$,26.19118,-98.16534,San Juan,TX
Panther's Den,1,4.0,N/A,26.1697641464957,-97.9952882230282,Weslaco,TX
Dairy Queen,3,3.5,N/A,26.2929526996629,-97.9924769327044,Elsa,TX
Exotic Berry Frozen Yogurt,1,3.0,$,26.2007963215486,-98.2032233003293,Pharr,TX
Snowball Express,1,4.0,N/A,26.1783821163659,-98.1700364872813,Pharr,TX
Davey Jones Ice Cream Locker,25,4.5,$,26.07825,-97.20692,Port Isabel,TX
Umix,28,4.0,$,26.092325,-97.164419,South Padre Island,TX
Cafe Karma,14,5.0,$,26.1241645014812,-97.1702075546797,South Padre Island,TX
Dolce Roma,20,2.5,$,26.11607,-97.16916,South Padre Island,TX
Dairy Queen,14,3.0,$,26.10207,-97.16771,South Padre Island,TX
Dolce Roma,24,2.5,$,26.086854,-97.163612,South Padre Island,TX
Dairy Queen,7,4.0,$,26.07472,-97.21276,Port Isabel,TX
YOGO Yogurts & More,1,4.0,N/A,26.076709,-97.207427,Port Isabel,TX
Love Boat Ice Cream,67,4.5,$,26.442453,-82.059234,Sanibel,FL
Joey's Custard,30,4.5,$,26.4357201,-82.0784866,Sanibel,FL
Cesibon,117,4.5,$,26.247802300859,-81.8028259852067,Naples,FL
Sweet Melissa's Ice Cream Shop,57,4.5,$,26.33013,-81.82574,Bonita Springs,FL
Pinocchio's Original Italian Ice Cream,216,4.0,$,26.45114,-82.02373,Sanibel,FL
Love Boat Ice Cream,258,4.5,$,26.5060787200928,-81.9422302246094,Fort Myers,FL
Royal Scoop,64,4.5,$,26.4494019747174,-81.9447012140605,Fort Myers Beach,FL
Cape Creamery,33,5.0,$,26.5632356662889,-82.0100025126062,Cape Coral,FL
Royal Scoop,119,4.0,$,26.32363,-81.81985,Bonita Springs,FL
Cookies Frozen Custard,21,5.0,$,26.4244384765625,-81.8127059936523,Estero,FL
"Rosie's Cafe, Grill & Ice Cream",88,4.0,$$,26.4378500620568,-82.0770809158803,Sanibel,FL
Freddo,20,4.5,$,26.1426389962435,-81.7936789244413,Naples,FL
Kilwin's,75,4.0,$$,26.1419,-81.79703,Naples,FL
