Scoop's Soups & More,37,3.5,$,36.82456,-119.7018,Clovis,CA
Raspados El Diablito Loco,32,4.0,$,36.7795296,-119.8256683,Fresno,CA
The Food Hut 2,37,4.0,$,36.7944984,-119.72686,Clovis,CA
Los 3 Reyes,5,5.0,$,36.7576672716141,-119.811837962964,Fresno,CA
Frosty Queen - Fresno,55,4.0,$,36.74336,-119.79827,Fresno,CA
Big Kahuna Frozen Yogurt,36,3.5,$$,36.8083697,-119.6930838,Clovis,CA
Cold Stone Creamery,38,3.0,$$,36.80977,-119.80794,Fresno,CA
Cold Stone Creamery,29,4.0,$$,36.8512819,-119.7912049,Fresno,CA
Big Kahuna Yogurt,9,4.5,$,36.6042649941749,-119.457419646274,Reedley,CA
Cold Stone Creamery,19,3.0,$$,36.8121033834203,-119.734998322865,Fresno,CA
Fosters Freeze,24,3.0,$,36.81919,-119.70106,Clovis,CA
Yogy O Gurt,16,3.5,N/A,36.5761414749281,-119.610650427639,Selma,CA
Fosters Freeze,18,4.5,$$,36.81652,-119.78993,Fresno,CA
Hungry Bear Cookies N Cream,13,3.5,$$$$,36.85037,-119.7284,Clovis,CA
Antojitos Selenes,7,4.0,$,36.7431769764012,-119.753867983818,Fresno,CA
Menchie's Frozen Yogurt,9,4.5,$,36.857208,-119.783794,Fresno,CA
Neveria La Tradicional,6,5.0,$$,36.7930026171856,-119.845275504066,Fresno,CA
Reedley Sandwich Shop,39,4.0,$,36.5956638,-119.4499111,Reedley,CA
Fosters Freeze,22,2.5,$,36.8084491789341,-119.674870893359,Clovis,CA
Good Earth Yogurt,55,4.5,$$,37.3626847300497,-118.395525189745,Bishop,CA
Antojitos Hipocampus,11,5.0,$,37.3647404931456,-118.396461963966,Bishop,CA
Frosty Chalet,85,4.0,$,36.6089639953159,-118.064793124795,Lone Pine,CA
Zeppe's Italian Ice & Custard,21,4.5,$,37.123667,-113.621869,St. George,UT
Nielsen's Frozen Custard,109,4.0,$,37.1101699,-113.57377,Saint George,UT
Scoops,1,5.0,$,36.8020401,-114.1035614,Mesquite,NV
Culver's,70,4.0,$,37.0811153,-113.5781525,Saint George,UT
Kilo's Italian Ice,34,5.0,$,37.110148,-113.572316,St. George,UT
Larsen's Frostop Old Fashioned Drive in,73,4.0,$,37.10952,-113.56506,St. George,UT
Judd's Store,31,4.5,$,37.1082329750061,-113.584632351995,Saint George,UT
Menchie's Frozen Yogurt,23,4.0,$,37.11011,-113.56874,St. George,UT
The Adobe Icebox,19,3.5,$,37.168678,-113.675385,Ivins,UT
Freddy's Frozen Custard & Steakburgers,60,4.0,$,37.1248,-113.52288,Saint George,UT
Iceberg Drive Inn,69,3.5,$,37.109419,-113.578547,St. George,UT
Yogurtland,15,4.0,$,37.107528,-113.553374,St. George,UT
The Soda Jerk,1,5.0,N/A,37.1330420572594,-113.65553400905,Santa Clara,UT
Krave Frozen yogurt & ice cream,18,3.0,$,37.11097,-113.59149,St. George,UT
Dairy Queen,12,3.0,$,37.0887384674771,-113.582922172361,Saint George,UT
Sub Zero Ice Cream And Yogurt - Washington,18,2.5,$$,37.1284769,-113.5220062,Washington,UT
Baskin-Robbins,4,4.0,$,37.11023,-113.5936,Saint George,UT
Dairy Queen Grill & Chill,3,4.5,N/A,36.80492,-114.10917,Mesquite,NV
Affogato,3,5.0,$,37.10683,-113.59266,St. George,UT
Cold Stone Creamery,15,3.0,$$,37.1120695,-113.5554786,St. George,UT
Swig,11,2.5,$,37.10961,-113.58913,St. George,UT
DQ Grill and Chill,2,1.0,N/A,37.095350038965,-113.523279104227,St. George,UT
Springdale Candy Company,108,4.5,$,37.1888613445825,-112.998156597979,Springdale,UT
The Soda Fountain,25,4.5,$,37.048504,-112.532007,Kanab,UT
Rock Stop,27,5.0,$,37.27206,-112.6475,Orderville,UT
Hoodoos General Store & Ice Cream Parlor,17,4.0,$,37.1937107673099,-112.993476050193,Springdale,UT
Moon Saloon,3,5.0,$,37.04586,-112.52676,Kanab,UT
Tsunami Juice & Java,5,3.0,$,37.1984214412913,-112.991535746177,Springdale,UT
Brothers Bistro,5,4.0,$,36.9918438,-112.9739251,Colorado City,AZ
U-swirl,10,2.5,$$,36.9170437,-111.4592376,Page,AZ
Cream Bean Berry,79,4.5,$,37.27504,-107.88066,Durango,CO
Vanilla Moose,5,5.0,$$,36.8271581430556,-108.016998767853,Aztec,NM
Top That Frozen Yogurt,12,3.5,$$,37.2706121398092,-107.881804704666,Durango,CO
Aspen Leaf Yogurt,5,4.5,$,36.76936,-108.14482,Farmington,NM
Cold Stone Creamery,6,4.0,$$,37.26985,-107.88144,Durango,CO
Cold Stone Creamery,3,4.5,$$,37.3510851,-108.5635935,Cortez,CO
Freddy's Frozen Custard & Steakburgers,26,3.5,$,36.7657431999179,-108.152416610518,Farmington,NM
Baskin-Robbins,2,2.5,N/A,37.2737219184637,-107.882021963596,Durango,CO
Cold Stone Creamery,2,3.0,$$$,36.7663368167344,-108.146025633275,Farmington,NM
Cattle Drive Coffee,9,5.0,$$,37.332288,-108.338908,Mancos,CO
